dataset,source_family,is_common_five,is_rare_positive_task,is_college_stress,base_model,budget,score_source,evaluation_split,delta_absolute_coverage_error,delta_doubleton_fraction,delta_marginal_coverage,delta_mean_set_size,delta_worst_class_coverage,delta_worst_class_undercoverage,joint_success_rate,standard_estimable_rate,mondrian_estimable_rate,standard_finite_threshold_rate,mondrian_finite_threshold_rate,delta_estimable_rate,delta_finite_threshold_rate,primary_score_source,decision_boundary,doubleton_share_of_set_size_increase,set_size_increase_not_doubleton,evidence_classification,source_file
acsfoodstamps_household,acs,True,False,False,logistic_regression,25,base_uncalibrated_probability,target_final_test,0.0110459358573932,0.4025291384170031,0.0110459358573932,0.4025291384170031,0.1074634158016184,-0.0635545556805399,0.8166666666666667,1.0,0.8166666666666667,1.0,0.19,-0.1833333333333333,-0.81,True,finite_threshold_or_estimability_limited,1.0,0.0,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
acsfoodstamps_household,acs,True,False,False,logistic_regression,50,base_uncalibrated_probability,target_final_test,0.0033137807572179,0.1942561133541555,0.0160219729915312,0.1942561133541556,0.1519765897103638,-0.1274465547368096,1.0,1.0,1.0,1.0,0.9433333333333334,0.0,-0.0566666666666666,True,coverage_gain_with_moderate_set_cost,0.9999999999999996,5.551115123125783e-17,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
acsfoodstamps_household,acs,True,False,False,logistic_regression,100,base_uncalibrated_probability,target_final_test,0.0021744106202792,0.1461338167662429,0.0098483937918719,0.1461338167662429,0.1503009393603832,-0.1375597719794358,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,coverage_gain_with_moderate_set_cost,0.9999999999999998,2.7755575615628914e-17,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
acsfoodstamps_household,acs,True,False,False,logistic_regression,250,base_uncalibrated_probability,target_final_test,0.0006246667174525,0.1193107130045046,0.0046885457466888,0.1193107130045046,0.1560274740043901,-0.1517947562030597,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,coverage_gain_with_moderate_set_cost,0.9999999999999996,5.551115123125783e-17,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
acsfoodstamps_household,acs,True,False,False,logistic_regression,500,base_uncalibrated_probability,target_final_test,-0.000266626037937,0.1069222313958077,0.0027733214015893,0.1069222313958078,0.1579805835520726,-0.1566975641700081,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,coverage_gain_with_moderate_set_cost,0.9999999999999996,4.163336342344337e-17,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
acsfoodstamps_household,acs,True,False,False,xgboost_cpu,25,base_uncalibrated_probability,target_final_test,0.0091579317525701,0.4083187323836368,0.0138645539727279,0.4083187323836367,0.1284209907744637,-0.0816513825443325,0.8166666666666667,1.0,0.8166666666666667,1.0,0.19,-0.1833333333333333,-0.81,True,finite_threshold_or_estimability_limited,1.0000000000000002,-1.1102230246251563e-16,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
acsfoodstamps_household,acs,True,False,False,xgboost_cpu,50,base_uncalibrated_probability,target_final_test,-0.0002359804092481,0.1959288285601696,0.0206444732231279,0.1959288285601695,0.1785638677698916,-0.1590863051184231,1.0,1.0,1.0,1.0,0.9433333333333334,0.0,-0.0566666666666666,True,coverage_gain_with_moderate_set_cost,1.0000000000000002,-2.7755575615628914e-17,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
acsfoodstamps_household,acs,True,False,False,xgboost_cpu,100,base_uncalibrated_probability,target_final_test,0.0038374231267528,0.1420286559017511,0.0125769255115567,0.1420286559017513,0.177482639315364,-0.1637665357429295,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,coverage_gain_with_moderate_set_cost,0.9999999999999992,1.1102230246251563e-16,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
acsfoodstamps_household,acs,True,False,False,xgboost_cpu,250,base_uncalibrated_probability,target_final_test,0.0010978126377516,0.1164013102765293,0.0065356744726299,0.1164013102765293,0.1834135673895463,-0.1774193548387096,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,coverage_gain_with_moderate_set_cost,0.9999999999999996,4.163336342344337e-17,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
acsfoodstamps_household,acs,True,False,False,xgboost_cpu,500,base_uncalibrated_probability,target_final_test,-0.0008538426496566,0.1061171630989563,0.0042556676924739,0.1061171630989563,0.185263184565778,-0.1817534890092531,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,coverage_gain_with_moderate_set_cost,0.9999999999999998,2.7755575615628914e-17,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
acsincome_region,acs,True,False,False,logistic_regression,25,base_uncalibrated_probability,target_final_test,0.00519,0.0800999999999999,0.0105899999999999,0.0818000000000001,0.0199492562559077,0.0,0.9866666666666668,1.0,0.9866666666666668,1.0,0.7666666666666667,-0.0133333333333333,-0.2333333333333333,True,finite_threshold_or_estimability_limited,0.9792176039119788,0.0017000000000001,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
acsincome_region,acs,True,False,False,logistic_regression,50,base_uncalibrated_probability,target_final_test,0.0057699999999999,0.05929,0.0137399999999999,0.0613099999999999,0.0393750946652856,-0.0203694024507725,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,mixed_or_small_tradeoff,0.9670526830859574,0.0020199999999999,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
acsincome_region,acs,True,False,False,logistic_regression,100,base_uncalibrated_probability,target_final_test,0.0050799999999999,0.0381799999999999,0.0089799999999999,0.0381799999999999,0.040435071159015,-0.0285205770093776,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,mixed_or_small_tradeoff,1.0,0.0,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
acsincome_region,acs,True,False,False,logistic_regression,250,base_uncalibrated_probability,target_final_test,0.00045,0.0091399999999999,0.0021699999999999,0.00914,0.0428283978510947,-0.0366518078256562,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,mixed_or_small_tradeoff,0.9999999999999954,4.163336342344337e-17,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
acsincome_region,acs,True,False,False,logistic_regression,500,base_uncalibrated_probability,target_final_test,0.00071,0.00802,0.00192,0.00802,0.0476907175180997,-0.0444189377786332,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,mixed_or_small_tradeoff,0.9999999999999966,2.7755575615628914e-17,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
acsincome_region,acs,True,False,False,xgboost_cpu,25,base_uncalibrated_probability,target_final_test,0.0050499999999999,0.04563,0.0075399999999999,0.0456299999999999,0.0386923652442811,-0.0123834800182801,0.9866666666666668,1.0,0.9866666666666668,1.0,0.7666666666666667,-0.0133333333333333,-0.2333333333333333,True,finite_threshold_or_estimability_limited,1.000000000000001,-5.551115123125783e-17,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
acsincome_region,acs,True,False,False,xgboost_cpu,50,base_uncalibrated_probability,target_final_test,0.0042299999999999,0.03577,0.01199,0.0375200000000001,0.0717787148648704,-0.0537946144980154,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,mixed_or_small_tradeoff,0.9533582089552214,0.00175,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
acsincome_region,acs,True,False,False,xgboost_cpu,100,base_uncalibrated_probability,target_final_test,0.0019199999999999,0.0169799999999999,0.0091999999999999,0.0169800000000001,0.0814114386465504,-0.0716607144524471,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,mixed_or_small_tradeoff,0.9999999999999934,1.1102230246251563e-16,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
acsincome_region,acs,True,False,False,xgboost_cpu,250,base_uncalibrated_probability,target_final_test,0.00073,-0.00546,0.0045199999999999,-0.00546,0.0848327638309606,-0.0802882947307282,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,mixed_or_small_tradeoff,,-1.3877787807814457e-17,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
acsincome_region,acs,True,False,False,xgboost_cpu,500,base_uncalibrated_probability,target_final_test,-0.00069,-0.0113399999999999,0.00242,-0.01134,0.0858917306771192,-0.0828472516417155,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,mixed_or_small_tradeoff,,-2.7755575615628914e-17,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
brfss_diabetes,brfss,True,False,False,logistic_regression,25,base_uncalibrated_probability,target_final_test,-0.00206,0.47802,-0.0211999999999999,0.4780200000000001,0.1571406870177011,-0.1178217821782178,0.41,1.0,0.41,1.0,0.0033333333333333,-0.59,-0.9966666666666668,True,finite_threshold_or_estimability_limited,0.9999999999999998,1.1102230246251563e-16,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
brfss_diabetes,brfss,True,False,False,logistic_regression,50,base_uncalibrated_probability,target_final_test,0.00822,0.5581200000000001,0.00892,0.55812,0.4073944774369633,-0.3923881818251336,0.9433333333333334,1.0,0.9433333333333334,1.0,0.4566666666666666,-0.0566666666666666,-0.5433333333333333,True,finite_threshold_or_estimability_limited,1.0000000000000002,-1.1102230246251563e-16,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
brfss_diabetes,brfss,True,False,False,logistic_regression,100,base_uncalibrated_probability,target_final_test,0.00151,0.29981,0.0078,0.29981,0.4521184524544453,-0.4454516188413144,1.0,1.0,1.0,1.0,0.9966666666666668,0.0,-0.0033333333333333,True,coverage_gain_with_moderate_set_cost,1.0,0.0,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
brfss_diabetes,brfss,True,False,False,logistic_regression,250,base_uncalibrated_probability,target_final_test,-0.00035,0.26358,0.0054199999999999,0.26358,0.4751115285278234,-0.4669800235017626,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,coverage_gain_with_moderate_set_cost,1.0,0.0,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
brfss_diabetes,brfss,True,False,False,logistic_regression,500,base_uncalibrated_probability,target_final_test,0.00029,0.2492899999999999,0.00246,0.24929,0.4709565025763653,-0.4675510683258981,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,coverage_gain_with_moderate_set_cost,0.9999999999999998,5.551115123125783e-17,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
brfss_diabetes,brfss,True,False,False,xgboost_cpu,25,base_uncalibrated_probability,target_final_test,-0.00301,0.4966399999999999,-0.0193899999999999,0.4966399999999999,0.1710312170134861,-0.1415288154324275,0.41,1.0,0.41,1.0,0.0033333333333333,-0.59,-0.9966666666666668,True,finite_threshold_or_estimability_limited,1.0,0.0,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
brfss_diabetes,brfss,True,False,False,xgboost_cpu,50,base_uncalibrated_probability,target_final_test,0.0068699999999999,0.56472,0.01212,0.5647199999999999,0.4177148655968273,-0.4056674555902512,0.9433333333333334,1.0,0.9433333333333334,1.0,0.4566666666666666,-0.0566666666666666,-0.5433333333333333,True,finite_threshold_or_estimability_limited,1.0000000000000002,-1.1102230246251563e-16,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
brfss_diabetes,brfss,True,False,False,xgboost_cpu,100,base_uncalibrated_probability,target_final_test,0.00128,0.3155899999999999,0.0052499999999999,0.31559,0.4537705253453863,-0.4349690788771089,1.0,1.0,1.0,1.0,0.9966666666666668,0.0,-0.0033333333333333,True,coverage_gain_with_high_set_cost,0.9999999999999996,1.1102230246251563e-16,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
brfss_diabetes,brfss,True,False,False,xgboost_cpu,250,base_uncalibrated_probability,target_final_test,-0.00084,0.25956,0.0036599999999999,0.25956,0.4584740827023879,-0.4559771616007252,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,coverage_gain_with_moderate_set_cost,1.0,0.0,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
brfss_diabetes,brfss,True,False,False,xgboost_cpu,500,base_uncalibrated_probability,target_final_test,-0.0003,0.24824,0.0002699999999999,0.2482399999999999,0.4644507097426942,-0.4625293383483471,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,coverage_gain_with_moderate_set_cost,1.0000000000000004,-1.1102230246251563e-16,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
diabetes_readmission_patient_index,uci_diabetes,True,False,False,logistic_regression,25,base_uncalibrated_probability,target_final_test,0.0086522535088484,0.1069937140094069,0.0128453384579735,0.1069937140094069,0.0874611533991274,-0.0460127235161645,0.9733333333333334,1.0,0.9733333333333334,1.0,0.5433333333333333,-0.0266666666666666,-0.4566666666666666,True,finite_threshold_or_estimability_limited,1.0000000000000004,-5.551115123125783e-17,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
diabetes_readmission_patient_index,uci_diabetes,True,False,False,logistic_regression,50,base_uncalibrated_probability,target_final_test,0.003138599498879,0.1264843418618945,0.0197441570005589,0.1264843418618945,0.1554835414160473,-0.1420151461464066,1.0,1.0,1.0,1.0,0.99,0.0,-0.01,True,coverage_gain_with_moderate_set_cost,1.0000000000000004,-5.551115123125783e-17,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
diabetes_readmission_patient_index,uci_diabetes,True,False,False,logistic_regression,100,base_uncalibrated_probability,target_final_test,-0.0011379151171441,0.1030172569372908,0.0097819603635426,0.1030172569372908,0.1568966954377583,-0.1492105902356084,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,coverage_gain_with_moderate_set_cost,1.0,0.0,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
diabetes_readmission_patient_index,uci_diabetes,True,False,False,logistic_regression,250,base_uncalibrated_probability,target_final_test,0.0007675925104268,0.0816161399773966,0.0033174727390539,0.0816161399773965,0.1614815860978006,-0.1542427232363098,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,coverage_gain_with_moderate_set_cost,1.0000000000000009,-5.551115123125783e-17,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
diabetes_readmission_patient_index,uci_diabetes,True,False,False,logistic_regression,500,base_uncalibrated_probability,target_final_test,-0.0003530642489756,0.0820552051484499,0.004132049760429,0.0820552051484498,0.1644907129505642,-0.1625925925925925,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,coverage_gain_with_moderate_set_cost,1.0000000000000009,-5.551115123125783e-17,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
diabetes_readmission_patient_index,uci_diabetes,True,False,False,xgboost_cpu,25,base_uncalibrated_probability,target_final_test,0.0070112971998769,0.0920418606806073,0.0104436081407169,0.0920418606806072,0.0842831734231083,-0.0581808686928553,0.9733333333333334,1.0,0.9733333333333334,1.0,0.5433333333333333,-0.0266666666666666,-0.4566666666666666,True,finite_threshold_or_estimability_limited,1.000000000000001,-1.1102230246251563e-16,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
diabetes_readmission_patient_index,uci_diabetes,True,False,False,xgboost_cpu,50,base_uncalibrated_probability,target_final_test,0.0042441150991216,0.1066200712119214,0.0149278875760569,0.1066200712119213,0.1465942492401956,-0.132147194559145,1.0,1.0,1.0,1.0,0.99,0.0,-0.01,True,coverage_gain_with_moderate_set_cost,1.000000000000001,-1.1102230246251563e-16,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
diabetes_readmission_patient_index,uci_diabetes,True,False,False,xgboost_cpu,100,base_uncalibrated_probability,target_final_test,0.0006814767506363,0.0925754978240802,0.0082421205327706,0.0925754978240801,0.1596531443943366,-0.1532386283747471,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,coverage_gain_with_moderate_set_cost,1.0000000000000009,-5.551115123125783e-17,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
diabetes_readmission_patient_index,uci_diabetes,True,False,False,xgboost_cpu,250,base_uncalibrated_probability,target_final_test,0.001207392555139,0.0811121412638532,0.0047279210711491,0.0811121412638533,0.1623675246207481,-0.1582053141038556,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,coverage_gain_with_moderate_set_cost,0.9999999999999988,1.1102230246251563e-16,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
diabetes_readmission_patient_index,uci_diabetes,True,False,False,xgboost_cpu,500,base_uncalibrated_probability,target_final_test,-0.0002638730644773,0.0838583725263998,0.0061126686618647,0.0838583725263998,0.1731604611020222,-0.1708098009757794,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,coverage_gain_with_moderate_set_cost,1.0,0.0,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
nhanes_lead,nhanes,True,True,False,logistic_regression,25,base_uncalibrated_probability,target_final_test,-0.0131802166253425,0.5855761693232296,-0.0394101526817173,0.5855761693232298,0.2442985619699645,-0.2417860814345082,0.0366666666666666,1.0,0.0366666666666666,1.0,0.0,-0.9633333333333334,-1.0,True,finite_threshold_or_estimability_limited,0.9999999999999998,1.1102230246251563e-16,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
nhanes_lead,nhanes,True,True,False,logistic_regression,50,base_uncalibrated_probability,target_final_test,-0.0059376223411196,0.816977684979773,-0.013375962416808,0.8169776849797729,0.6635716491976786,-0.6348851898854257,0.42,1.0,0.42,1.0,0.02,-0.58,-0.98,True,finite_threshold_or_estimability_limited,1.0000000000000002,-1.1102230246251563e-16,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
nhanes_lead,nhanes,True,True,False,logistic_regression,100,base_uncalibrated_probability,target_final_test,0.0010034023828784,0.8127030233400522,0.0060589523070017,0.8499934751402846,0.87375533428165,-0.8733997155049786,0.9133333333333332,1.0,0.9133333333333332,1.0,0.4633333333333333,-0.0866666666666666,-0.5366666666666666,True,finite_threshold_or_estimability_limited,0.9561285434643156,0.0372904518002323,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
nhanes_lead,nhanes,True,True,False,logistic_regression,250,base_uncalibrated_probability,target_final_test,0.000351731276076,0.5713906179303009,0.0012376861840751,0.5940269134540042,0.8892181766864239,-0.888135593220339,1.0,1.0,1.0,1.0,0.9966666666666668,0.0,-0.0033333333333333,True,coverage_gain_with_high_set_cost,0.961893484939793,0.0226362955237032,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
nhanes_lead,nhanes,True,True,False,logistic_regression,500,base_uncalibrated_probability,target_final_test,0.0014991170926491,0.5461168206062182,0.0015659663317237,0.5707386690193216,0.8913743768249784,-0.8913743768249784,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,coverage_gain_with_high_set_cost,0.9568596807091936,0.0246218484131033,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
nhanes_lead,nhanes,True,True,False,xgboost_cpu,25,base_uncalibrated_probability,target_final_test,-0.0442121766396654,0.5819832767180559,-0.071031290308314,0.5819832767180559,0.2467489716565539,-0.2330948968856735,0.0366666666666666,1.0,0.0366666666666666,1.0,0.0,-0.9633333333333334,-1.0,True,finite_threshold_or_estimability_limited,1.0,0.0,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
nhanes_lead,nhanes,True,True,False,xgboost_cpu,50,base_uncalibrated_probability,target_final_test,-0.006650117585576,0.8070118381683361,-0.0216285136522354,0.8070118381683361,0.6439621190154969,-0.6186440677966102,0.42,1.0,0.42,1.0,0.02,-0.58,-0.98,True,finite_threshold_or_estimability_limited,1.0,0.0,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
nhanes_lead,nhanes,True,True,False,xgboost_cpu,100,base_uncalibrated_probability,target_final_test,0.001239723345948,0.8086436557409677,0.0061333681325852,0.8384362908436314,0.8742848011497691,-0.8706364215165336,0.9133333333333332,1.0,0.9133333333333332,1.0,0.4633333333333333,-0.0866666666666666,-0.5366666666666666,True,finite_threshold_or_estimability_limited,0.964466429437726,0.0297926351026636,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
nhanes_lead,nhanes,True,True,False,xgboost_cpu,250,base_uncalibrated_probability,target_final_test,0.001473099140262,0.5332767845491322,0.001629487293711,0.5495202156589745,0.8915254237288136,-0.8915254237288136,1.0,1.0,1.0,1.0,0.9966666666666668,0.0,-0.0033333333333333,True,coverage_gain_with_high_set_cost,0.9704407032771972,0.0162434311098422,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
nhanes_lead,nhanes,True,True,False,xgboost_cpu,500,base_uncalibrated_probability,target_final_test,0.0017467924307542,0.5038785835913742,0.0035124235722648,0.5309642017245884,0.9001422475106685,-0.9,1.0,1.0,1.0,1.0,1.0,0.0,0.0,True,coverage_gain_with_high_set_cost,0.9489878638800144,0.0270856181332141,confirmatory_frozen,results/stage2ds/H5_TRADEOFF_TABLE.csv
