base_model,calibration_method,budget,task_equal_delta_log_loss,mean_material_harm_rate,mean_estimable_rate,material_positive_tasks_log_loss,loto_count,lofo_count,source_file
logistic_regression,intercept_only_mle,25,-0.0006141945084656,0.4423723198351054,0.9766666666666666,2,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
logistic_regression,intercept_only_mle,50,0.0035500389933912,0.3208956228956229,0.998,2,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
logistic_regression,intercept_only_mle,100,0.0062681214467116,0.1639999999999999,1.0,3,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
logistic_regression,intercept_only_mle,250,0.0079421245984283,0.0486666666666666,1.0,3,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
logistic_regression,intercept_only_mle,500,0.0086168071835656,0.0126666666666666,1.0,4,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
logistic_regression,isotonic,25,-0.439859434351209,0.997689052232988,0.6446666666666667,0,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
logistic_regression,isotonic,50,-0.2674386388542977,0.9836742386000336,0.8726666666666667,0,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
logistic_regression,isotonic,100,-0.1424744791572201,0.9495669099756692,0.9826666666666666,0,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
logistic_regression,isotonic,250,-0.0491591667942417,0.8640000000000001,1.0,0,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
logistic_regression,isotonic,500,-0.0172075105430814,0.7333333333333333,1.0,1,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
logistic_regression,jeffreys_smoothed_intercept_matching,25,-0.0001387514380609,0.4493333333333333,1.0,2,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
logistic_regression,jeffreys_smoothed_intercept_matching,50,0.0038913737063285,0.312,1.0,2,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
logistic_regression,jeffreys_smoothed_intercept_matching,100,0.0062549117613133,0.156,1.0,3,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
logistic_regression,jeffreys_smoothed_intercept_matching,250,0.0077896874786656,0.05,1.0,4,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
logistic_regression,jeffreys_smoothed_intercept_matching,500,0.0084966995756546,0.0126666666666666,1.0,4,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
logistic_regression,sigmoid,25,-0.0263873925568492,0.749163059598321,0.9766666666666666,0,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
logistic_regression,sigmoid,50,-0.0068929313153245,0.586040404040404,0.998,1,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
logistic_regression,sigmoid,100,0.001846635092433,0.3586666666666666,1.0,2,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
logistic_regression,sigmoid,250,0.0063857054251003,0.0993333333333333,1.0,2,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
logistic_regression,sigmoid,500,0.0078875337185476,0.018,1.0,3,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
xgboost_cpu,intercept_only_mle,25,0.0004087248471982,0.420004650227484,0.9766666666666666,2,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
xgboost_cpu,intercept_only_mle,50,0.004529263323993,0.2875589225589225,0.998,3,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
xgboost_cpu,intercept_only_mle,100,0.0071536862708372,0.1363333333333333,1.0,3,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
xgboost_cpu,intercept_only_mle,250,0.008417905972497,0.0363333333333333,1.0,3,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
xgboost_cpu,intercept_only_mle,500,0.0089888362125959,0.008,1.0,3,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
xgboost_cpu,isotonic,25,-0.4036666478392495,0.9972602739726028,0.6446666666666667,0,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
xgboost_cpu,isotonic,50,-0.2516030357755161,0.9824078187223064,0.8726666666666667,0,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
xgboost_cpu,isotonic,100,-0.1304450845976808,0.9517591240875912,0.9826666666666666,0,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
xgboost_cpu,isotonic,250,-0.0462570197630946,0.8656666666666666,1.0,0,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
xgboost_cpu,isotonic,500,-0.0172375470331558,0.73,1.0,1,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
xgboost_cpu,jeffreys_smoothed_intercept_matching,25,0.0008233568517308,0.422,1.0,3,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
xgboost_cpu,jeffreys_smoothed_intercept_matching,50,0.0048549769015604,0.2766666666666666,1.0,3,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
xgboost_cpu,jeffreys_smoothed_intercept_matching,100,0.0071334596947109,0.1306666666666666,1.0,3,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
xgboost_cpu,jeffreys_smoothed_intercept_matching,250,0.0083621845044226,0.0353333333333333,1.0,3,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
xgboost_cpu,jeffreys_smoothed_intercept_matching,500,0.0088639216875914,0.007,1.0,3,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
xgboost_cpu,sigmoid,25,-0.0245148356475481,0.729908579041299,0.9766666666666666,0,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
xgboost_cpu,sigmoid,50,-0.005377607717236,0.558996632996633,0.998,1,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
xgboost_cpu,sigmoid,100,0.0032221574406349,0.3116666666666666,1.0,2,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
xgboost_cpu,sigmoid,250,0.0073614592706227,0.0796666666666666,1.0,3,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
xgboost_cpu,sigmoid,500,0.0090848645191476,0.016,1.0,3,5,4,results/stage2ds/H2_EVIDENCE_STRENGTH.csv
